#{"t_start": 1781387336.745137, "env_id": "None"}
r,l,t
-3.1132,1,568.497403
-2.8552,2,568.552128
-6.3864,5,568.669377
-3.2171,1,568.702533
260.7787,100,570.82486
-15.9292,4,570.921726
293.8676,100,573.044711
224.8761,100,575.167359
122.0606,100,577.292101
241.3092,100,579.417202
-2.8306,2,579.475917
300.7511,100,581.600148
224.0602,100,583.72767
-3.2145,1,583.760949
203.4187,100,585.883924
-7.0822,3,585.959433
152.1752,100,588.101301
153.093,100,590.224409
-6.792,4,590.32048
188.1346,100,592.447832
183.45,100,594.568363
188.1312,100,596.74634
305.395,100,598.88096
-3.2269,1,598.913814
-3.2029,1,598.946274
-3.2323,1,598.980377
-3.1132,1,599.013013
260.268,100,601.144664
-6.3784,5,601.262804
234.787,100,603.41573
-384.0844,100,605.808401
-2.161,3,605.885488
187.8393,100,608.041987
-380.1336,100,610.17615
183.9224,100,612.301496
-11.0243,5,612.426143
-382.5903,100,614.560391
206.6954,100,616.694929
160.005,100,618.847126
-3.218,1,618.879231
256.9712,100,621.012893
-2.5826,2,621.068317
-2.5203,3,621.143677
187.3804,100,623.265517
286.5876,100,625.394123
-381.6016,100,627.51651
-3.0882,1,627.550815
209.2486,100,629.693509
-67.7843,100,631.830336
183.4085,100,792.71151
-79.823,100,794.647652
-2.8677,2,794.68375
-384.0444,100,796.178129
-11.0109,5,796.257288
-7.0636,3,796.307166
223.2945,100,797.904229
-3.2068,1,797.926093
-3.2135,1,797.948982
-2.896,2,797.987014
-7.1283,3,798.041846
249.0406,100,799.500456
-87.8488,100,800.98048
260.991,100,802.477655
-3.214,1,802.500618
284.607,100,804.209308
-3.2299,1,804.231868
-3.2299,1,804.255302
296.0288,100,805.817505
163.1439,100,807.368439
-3.2215,1,807.391792
275.5453,100,808.959459
293.4626,100,810.53231
-2.6371,2,810.572078
-10.688,6,810.675525
-3.1015,1,810.699128
-3.214,1,810.723131
152.169,100,812.353985
-173.0411,100,814.008736
-92.6216,100,815.65381
-3.2332,1,815.678751
314.2694,100,817.298017
-381.4257,100,818.931452
-3.2307,1,818.963315
235.286,100,820.607725
-3.1132,1,820.632313
192.0718,100,822.269214
-373.5173,100,823.91625
152.3614,100,825.572803
-374.4932,100,827.233218
194.092,100,828.896389
-7.0822,3,828.956401
198.1592,100,830.620204
298.6764,100,832.29784
262.657,100,833.977291
196.4182,100,835.661723
235.0294,100,837.349533
180.3955,100,839.258803
-3.1132,1,839.28474
-385.0721,100,840.979866
-7.4596,2,841.025631
194.2305,100,842.726196
265.7848,100,844.433641
178.5894,100,846.148834
-3.2062,1,846.175013
212.5664,100,847.881816
291.3916,100,849.597114
145.3125,100,851.315699
-383.579,100,853.032316
312.57,100,854.755225
242.2296,100,856.481529
-382.4104,100,858.205219
-384.3578,100,859.936912
284.9855,100,861.677315
312.6143,100,863.422214
209.9176,100,865.212254
-388.5225,100,866.980296
243.3766,100,868.734449
243.3088,100,870.493764
118.8346,100,872.264399
143.6524,100,874.346274
134.3712,100,876.13931
156.03,100,877.912383
238.329,100,879.742765
-3.2332,1,879.76982
177.6301,100,881.565488
250.2874,100,883.366657
190.399,100,885.161109
136.7666,100,887.074752
258.0482,100,888.959821
-391.946,100,890.750625
285.578,100,892.543993
128.0934,100,894.363303
-6.7375,4,894.443499
168.9975,100,896.284703
265.6276,100,898.094401
-11.0243,5,898.197492
-3.2196,1,898.225432
